pmm,smm,vmm,exclude,deceased,firstName,nickName,lastName,organizationName,totalDonations,totalPledge,largestGift,largestGiftAppeal,firstGiftDate,lastGiftDate,lastGiftAmount,lastGiftRequest,lastGiftAppeal,addressLine1,addressLine2,city,contactPhoneType,phoneRestrictions,emailRestrictions,communicationRestrictions,subscriptionInPerson,subscriptionMagazine,communicationPreference
,,Griz D'Ambrogio,false,true,Griz,,D'Ambrogio,O'Kon LLC,12,15,61,,,,,,,25751 Fisk Point,Apt 164,Parksville,personal,No Mass Communications,No Surveys,Opt-out,Opt-out,Opt-in,Thank you
,,,false,false,Waiter,,Kleinmintz,Bauch Group,18,18,11,,,,,,,67 Nancy Place,,Saanich,home,No Mass Communications,No Mass Emails,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Porty,,Dodge,Weber and Sons,12,8,47,,87312,,,,,8996 Division Pass,Room 36,Vancouver,work,No Mass Communications,Do Not Email,Opt-out,Opt-out,Opt-out,Holiday Card
,,Sallyann Chanders,false,false,Sallyann,,Chanders,Medhurst-West,7,19,45,,,,,,,7 Becker Court,,Saanich,home,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-out,Research update
,,,false,false,Lem,,Hawkings,Leffler LLC,18,2,87,,,,,,,25 Walton Center,Suite 39,Surrey,work,No Phone Appeals,No Mass Emails,Opt-in,Opt-in,Opt-out,Survey
,,Giuseppe Foss,false,false,Giuseppe,,Foss,"Stehr, Leuschke and Walsh",15,4,64,lectus in quam fringilla,,,,,,5867 Luster Junction,,Richmond,home,Do Not Call,No Mass Emails,Opt-in,Opt-out,Opt-in,Newsletter
,,Cyndie Bartell,false,true,Cyndie,Cyndie,Bartell,Stroman LLC,16,3,92,,,,,,leo rhoncus sed vestibulum sit amet cursus,83 Barby Court,Room 1055,Parksville,personal,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Newsletter
,,Gardner Sloey,false,false,Gardner,,Sloey,,15,9,11,,,,28,,purus sit amet nulla quisque arcu libero,945 Havey Pass,,Surrey,work,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-in,Research update
,,Olwen Gregs,false,false,Olwen,,Gregs,"Grant, Hyatt and Bednar",2,5,35,,,,,,,18 Hoard Point,PO Box 31171,River,home,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-in,Thank you
,,,false,false,Angelica,,Krzysztof,Shields and Sons,6,15,85,,,,57,,,4746 Park Meadow Hill,8th Floor,Nanaimo,work,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-in,Thank you
,,,false,false,Jesse,,Derill,,1,18,57,fusce lacus purus aliquet,,,,,,6097 Sutteridge Terrace,Suite 27,Burnaby,home,No Mass Communications,No Surveys,Opt-in,Opt-in,Opt-out,Research update
,,,false,false,Sheela,Sheela,McAlister,Huels LLC,4,15,31,,,,,,,53774 Old Shore Junction,Suite 26,Victoria,personal,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Survey
,,Valina Bolmann,false,false,Valina,Valina,Bolmann,"Bartell, Heathcote and Nikolaus",10,19,85,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,,,,,,25 Welch Parkway,PO Box 30256,Courtenay,work,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-in,Holiday Card
,,Wallie Record,false,false,Wallie,Wallie,Record,,9,18,52,,,,,,,8 Grasskamp Center,Apt 1455,Parksville,personal,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-out,Survey
Darlene Cuel,,Darlene Cuel,false,false,Darlene,,Cuel,"Hessel, Larson and Hilll",18,8,99,,,,74,,interdum mauris non ligula pellentesque ultrices phasellus id sapien in,324 Buhler Crossing,Suite 89,Surrey,home,Do Not Call,No Surveys,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Christal,,Fielder,,11,14,22,,,,,,,375 Sunnyside Court,,Nanaimo,work,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Newsletter
,Warde Crowth,Warde Crowth,false,false,Warde,,Crowth,"Mohr, Parisian and Monahan",14,9,53,,,,,,,54 Ludington Hill,,River,home,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-out,Thank you
,Rivy Juden,,true,false,Rivy,,Juden,Borer Inc,20,11,62,,,,,,sem duis aliquam convallis nunc proin,5765 Bluejay Street,7th Floor,Vancouver,work,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-out,Holiday Card
,,,false,false,Christi,,Cluley,Ledner LLC,10,15,73,in lacus curabitur at ipsum ac,,,,,at velit eu est,6855 David Drive,,Saanich,personal,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-in,Survey
,,,false,false,Anson,Anson,Copin,"Padberg, Larson and Heaney",1,11,3,,,,,,non velit nec,3763 Armistice Plaza,Room 331,Courtenay,work,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-out,Event
,,,false,false,Keeley,,Gethen,,7,17,86,,,,,,,78166 Vernon Point,Room 1718,Surrey,personal,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-in,Event
,,Willdon Grahl,false,false,Willdon,,Grahl,Bogisich Group,7,19,58,,,,,,,57036 Westerfield Center,Suite 87,Parksville,work,Do Not Call,No Surveys,Opt-in,Opt-out,Opt-out,Research update
,,Sayre Bertin,false,false,Sayre,,Bertin,Thompson Group,20,13,88,,,,,,dui maecenas tristique est et tempus semper,0 Vera Street,,Surrey,personal,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-out,Newsletter
Giovanna Danne,,Giovanna Danne,false,false,Giovanna,,Danne,Langosh Group,15,15,47,,,,,,est et tempus semper est quam pharetra magna,81939 Merry Park,PO Box 91822,River,work,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-in,Newsletter
,,,false,false,Mattie,,Groome,Price LLC,20,2,99,,,,95,,in congue etiam justo etiam pretium,34 Schlimgen Hill,,Surrey,home,No Phone Appeals,Do Not Email,Opt-out,Opt-out,Opt-out,Research update
,Pansie Kingsnoad,,false,false,Pansie,Pansie,Kingsnoad,Hodkiewicz Inc,14,17,94,,,,,,tellus semper interdum mauris ullamcorper,25945 Carioca Crossing,,Surrey,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-in,Opt-in,Thank you
,,,false,false,Ibbie,,Newlove,"Macejkovic, Skiles and Ward",16,20,83,,,,54,,,66864 Nevada Place,Room 89,Saanich,personal,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-in,Research update
,Dickie Denver,Dickie Denver,false,false,Dickie,,Denver,"Paucek, Brekke and Kirlin",11,14,84,,,,,,vivamus vel nulla,229 6th Court,PO Box 90683,River,work,No Surveys,No Mass Emails,Opt-in,Opt-in,Opt-out,Newsletter
,Benson Millwall,Benson Millwall,false,false,Benson,,Millwall,Herman LLC,2,11,88,,14979,,,,,875 8th Crossing,PO Box 14264,Courtenay,work,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-in,Event
,Evyn Allsepp,,false,false,Evyn,,Allsepp,Lowe-Fadel,4,12,21,,,,,,,39052 Ruskin Way,9th Floor,Nanaimo,home,Do Not Call,No Mass Emails,Opt-out,Opt-out,Opt-out,Thank you
,,,false,false,Rosella,,Summerhayes,"Stoltenberg, Sipes and Feest",9,5,25,,,,,,nulla integer pede justo lacinia eget tincidunt eget tempus vel,315 Waxwing Park,9th Floor,Parksville,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-in,Holiday Card
,Dino Brommage,,false,false,Dino,Dino,Brommage,"Gulgowski, Osinski and Skiles",0,9,84,,46044,,,,,1920 Stang Center,Apt 1834,Burnaby,personal,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
Wolf Mortell,,,false,false,Wolf,,Mortell,"Durgan, Luettgen and Waters",8,18,9,,,,23,,amet eros suspendisse accumsan tortor quis turpis sed,405 6th Way,18th Floor,Campbell,personal,No Surveys,No Surveys,Opt-in,Opt-out,Opt-in,Event
,,,false,false,Eugenius,Eugenius,Mycroft,Grady and Sons,10,3,76,,,,,,,12 Jackson Drive,PO Box 92669,Nanaimo,home,Do Not Call,No Mass Emails,Opt-out,Opt-in,Opt-out,Thank you
,,,false,false,Nadia,,Torpie,"Tillman, Parker and Kozey",12,4,41,,,,,,,3 High Crossing Point,,Saanich,work,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Research update
,,,false,false,Che,,Cockerton,"Douglas, Parisian and Stehr",9,7,55,pede ullamcorper augue,,,,,,44625 Buena Vista Circle,Suite 64,Campbell,personal,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-in,Event
,,,false,false,Daune,,Cabrales,Wunsch Inc,11,7,70,,,,,,,4 Meadow Valley Hill,,Parksville,home,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-in,Thank you
,Farris Crowdace,,false,true,Farris,,Crowdace,Gorczany Inc,18,13,60,,,,,,,03 Bayside Trail,Suite 53,Courtenay,work,Do Not Call,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Kennie,,Halfhead,"Gibson, Labadie and McClure",14,20,78,,84889,,,,lobortis sapien sapien,3 Donald Parkway,Apt 1129,Vancouver,home,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-out,Thank you
,,,false,false,Olin,,Eastabrook,Langosh LLC,18,15,13,,,,,,platea dictumst morbi vestibulum velit,6696 Hazelcrest Street,,Saanich,personal,No Surveys,No Surveys,Opt-out,Opt-out,Opt-out,Newsletter
Theodosia Simmen,,,false,false,Theodosia,,Simmen,,14,12,87,purus eu magna vulputate,,,,,,44105 New Castle Center,Suite 47,Saanich,work,Do Not Call,No Surveys,Opt-in,Opt-out,Opt-in,Research update
,Dalenna Hammerstone,Dalenna Hammerstone,false,false,Dalenna,,Hammerstone,Robel Group,10,3,29,,,,18,,,05708 Fair Oaks Avenue,,Courtenay,home,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-out,Holiday Card
,,Sherye Steed,false,false,Sherye,,Steed,,13,3,85,,,,,,,1 School Hill,Suite 64,Saanich,work,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-out,Newsletter
,,Gay Giriardelli,false,false,Gay,Gay,Giriardelli,Skiles-Zboncak,6,3,65,,,,,,,454 Prairieview Court,Suite 22,Surrey,home,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-in,Thank you
,Verena Wilder,,false,true,Verena,,Wilder,"Berge, Turner and Mosciski",20,16,78,,,,,,,9153 Lighthouse Bay Hill,PO Box 23197,Burnaby,work,Do Not Call,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Lexis,,Coit,Pacocha Inc,6,19,52,,,,,,,823 Novick Plaza,,Richmond,work,No Phone Appeals,No Appeals,Opt-in,Opt-in,Opt-in,Thank you
Thomasa McIlhone,,,false,true,Thomasa,Thomasa,McIlhone,"Gleason, Kihn and Daniel",2,7,9,,,,2,,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent,0929 Amoth Way,Apt 589,Surrey,work,No Phone Appeals,Do Not Email,Opt-in,Opt-out,Opt-out,Holiday Card
,,,false,false,Huey,,Genthner,"Hessel, Stanton and Gutmann",2,7,50,ipsum primis in faucibus orci luctus et ultrices,77503,,,,,2680 High Crossing Plaza,,Parksville,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Cherish,,Oganesian,Stamm-Dooley,6,6,38,,,,,,tellus semper interdum mauris ullamcorper purus sit,8267 Lakewood Terrace,,Saanich,personal,No Mass Communications,No Mass Emails,Opt-in,Opt-in,Opt-in,Holiday Card
,,,false,true,Dino,,MacGuffog,Gusikowski-Will,5,2,9,,27920,,,,,2772 Mandrake Lane,Apt 1659,River,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-in,Opt-out,Newsletter
Thor Griss,,,false,false,Thor,,Griss,Upton-Rau,12,18,57,,,,,,,0 Reinke Trail,PO Box 63347,Richmond,work,No Phone Appeals,Do Not Email,Opt-out,Opt-in,Opt-out,Event
,,,false,false,Edi,Edi,Lorans,Botsford LLC,17,15,44,,,,,,sed justo pellentesque viverra pede,4787 Sachs Alley,,River,personal,Do Not Call,No Mass Emails,Opt-in,Opt-out,Opt-in,Survey
,Olga Macci,,false,false,Olga,,Macci,,14,9,19,,,,,,,51 Anderson Pass,,Vancouver,personal,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-in,Holiday Card
,,,true,false,Chev,Chev,Morter,Reichert LLC,0,20,24,,66223,,,,,73 Hoard Avenue,Apt 614,Victoria,work,No Phone Appeals,No Appeals,Opt-in,Opt-in,Opt-in,Survey
,,,false,false,Hildegarde,,Rosendahl,"Stracke, Hayes and Hammes",9,16,100,ultrices vel augue vestibulum ante ipsum primis in faucibus orci,38628,,,,cursus vestibulum proin,497 Independence Hill,7th Floor,Surrey,personal,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Holiday Card
,,Maxie Winham,false,false,Maxie,Maxie,Winham,Zemlak Group,3,8,12,,,,,,,6 Park Meadow Drive,,Burnaby,personal,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-out,Holiday Card
,Geordie Pellamonuten,Geordie Pellamonuten,false,false,Geordie,Geordie,Pellamonuten,Wyman-Wolff,15,13,83,,,,40,,quis tortor id nulla ultrices,9928 Maywood Point,PO Box 227,Parksville,work,No Phone Appeals,No Mass Emails,Opt-out,Opt-out,Opt-in,Holiday Card
,,,false,false,Batholomew,,Keith,Conn-Nitzsche,15,2,83,convallis duis consequat dui nec nisi,22912,,,,,138 Old Gate Circle,,Victoria,home,No Surveys,No Mass Emails,Opt-in,Opt-in,Opt-out,Event
,Camel Aubery,,true,false,Camel,,Aubery,Abshire-Ledner,13,16,20,,,,,,non pretium quis,36 Farwell Plaza,Suite 23,Parksville,work,No Surveys,No Surveys,Opt-in,Opt-in,Opt-out,Event
,Johnette Mealham,Johnette Mealham,false,false,Johnette,Johnette,Mealham,Wintheiser Inc,10,8,51,cubilia curae nulla dapibus dolor,,,,,nunc rhoncus dui vel sem,37283 Mandrake Place,4th Floor,Vancouver,work,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-in,Survey
,,,false,false,Lora,,Piggford,"Hansen, Paucek and Murphy",4,2,81,ipsum dolor,,,,,magna vulputate luctus,02187 Golden Leaf Plaza,,River,personal,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Holiday Card
,Lin O'Tierney,Lin O'Tierney,false,false,Lin,,O'Tierney,Lang-Dooley,12,20,90,,,,46,,laoreet ut rhoncus aliquet pulvinar sed nisl,3 Golf Course Plaza,Room 789,Surrey,work,No Phone Appeals,No Surveys,Opt-in,Opt-in,Opt-in,Newsletter
,,,true,false,Sancho,,Pirazzi,"Altenwerth, Tromp and Hane",7,1,99,,,,,,,54 Crowley Park,PO Box 98284,River,home,No Mass Communications,Do Not Email,Opt-out,Opt-in,Opt-in,Holiday Card
,,Haze Mortimer,false,true,Haze,,Mortimer,"Kohler, Aufderhar and Doyle",13,5,17,,,,,,,812 Bonner Circle,,Parksville,work,No Mass Communications,No Surveys,Opt-in,Opt-out,Opt-out,Holiday Card
,,,true,false,Neall,,Wenderott,Bayer-Steuber,17,20,25,donec dapibus duis at velit eu est,,,,,,8 Ridge Oak Avenue,Suite 71,Victoria,work,Do Not Call,No Mass Emails,Opt-out,Opt-out,Opt-in,Holiday Card
,,Demetris Ondrasek,false,true,Demetris,,Ondrasek,,1,1,42,lorem id ligula suspendisse ornare consequat lectus,,,,,vitae nisl aenean lectus pellentesque,8273 Northwestern Way,,Parksville,work,Do Not Call,No Mass Emails,Opt-out,Opt-out,Opt-in,Thank you
,Carolina Gallagher,Carolina Gallagher,false,true,Carolina,,Gallagher,Hettinger-Nienow,11,11,43,,,,,,eleifend quam a odio in hac habitasse,08258 Brown Way,PO Box 64864,Vancouver,personal,No Surveys,Do Not Email,Opt-out,Opt-in,Opt-in,Holiday Card
,,,false,false,Terrijo,,MacKill,"Russel, Reinger and Legros",17,8,7,,,,,,,58169 Westridge Alley,,Surrey,home,No Surveys,No Mass Emails,Opt-out,Opt-in,Opt-out,Newsletter
,,,false,false,Sophronia,,Lermouth,Fay-Zemlak,15,14,56,,,,,,,6592 Burning Wood Alley,Suite 96,Courtenay,home,Do Not Call,No Mass Emails,Opt-in,Opt-in,Opt-in,Newsletter
,,,true,false,Aguie,,Farens,Torphy Group,2,10,93,,,,,,,865 Pierstorff Avenue,,Parksville,home,No Mass Communications,No Surveys,Opt-in,Opt-out,Opt-out,Research update
Brandon Warry,,,false,false,Brandon,,Warry,Schoen-Robel,17,10,55,,,,38,,,84954 Sullivan Court,Suite 1,Parksville,home,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-in,Event
,,Derron Spurge,false,false,Derron,,Spurge,Rippin-Breitenberg,17,15,45,amet sapien dignissim vestibulum vestibulum ante,,,,,in eleifend quam,32 Autumn Leaf Crossing,4th Floor,Nanaimo,personal,Do Not Call,No Appeals,Opt-in,Opt-out,Opt-out,Survey
Ram Duffree,,,false,false,Ram,Ram,Duffree,Stehr-Macejkovic,1,6,65,eu tincidunt in leo maecenas,,,,,,9 Bayside Hill,,Saanich,personal,No Surveys,No Mass Emails,Opt-out,Opt-in,Opt-out,Newsletter
,,,false,false,Steffane,,Perkis,"Armstrong, Schinner and Kiehn",3,9,82,,,,,,ut dolor morbi vel,1548 Sycamore Hill,Suite 21,Courtenay,work,No Phone Appeals,No Mass Emails,Opt-in,Opt-out,Opt-out,Newsletter
Warden Glenn,,,false,false,Warden,,Glenn,,8,18,21,,,,,,,9396 Annamark Way,PO Box 1592,Nanaimo,personal,No Phone Appeals,No Mass Emails,Opt-out,Opt-in,Opt-out,Research update
,,,false,false,Immanuel,,Livoir,Howell LLC,13,4,23,sociis natoque penatibus et magnis,,,,,,89 Ruskin Junction,PO Box 17756,Parksville,personal,Do Not Call,No Mass Emails,Opt-out,Opt-out,Opt-out,Research update
,,,true,false,Flossie,Flossie,Robert,Mitchell Inc,16,19,28,,,,,,,25 Clarendon Trail,,Surrey,work,Do Not Call,No Appeals,Opt-out,Opt-out,Opt-out,Thank you
,,,false,false,Harris,,Nuccitelli,Shanahan LLC,5,11,67,,,,,,,54954 American Ash Avenue,Suite 58,Saanich,home,No Surveys,No Appeals,Opt-in,Opt-in,Opt-out,Holiday Card
Joela Frickey,,Joela Frickey,true,false,Joela,,Frickey,"Rempel, Bogan and Hand",2,3,72,,,,,,vestibulum velit id pretium iaculis diam erat fermentum justo nec,18302 Nancy Circle,,Richmond,home,No Surveys,No Surveys,Opt-in,Opt-in,Opt-out,Thank you
,Pate Veal,Pate Veal,false,false,Pate,Pate,Veal,Connelly-Beatty,4,5,72,,,,,,turpis donec posuere metus vitae ipsum aliquam,50 Randy Drive,Room 1042,Parksville,home,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Event
,Felipe MacMearty,Felipe MacMearty,false,false,Felipe,Felipe,MacMearty,Wehner-Mitchell,19,7,91,ac consequat metus sapien ut nunc vestibulum ante,,,8,,,57 Commercial Junction,PO Box 37550,Nanaimo,work,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-in,Holiday Card
,,,false,false,Xylia,Xylia,Kretschmer,Reichel Inc,14,12,23,,,,,,,00 Meadow Valley Lane,Apt 1688,Courtenay,personal,No Phone Appeals,No Appeals,Opt-in,Opt-out,Opt-out,Research update
,,,false,false,Belvia,,Fellibrand,Lakin Group,18,8,97,,,,,,,3 1st Avenue,Room 1183,Surrey,personal,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Nikolos,,Ascroft,Deckow LLC,20,12,51,,,581874,70,,,0246 Gulseth Plaza,Room 1603,Courtenay,personal,No Phone Appeals,No Surveys,Opt-in,Opt-out,Opt-in,Holiday Card
,Arluene Joslin,Arluene Joslin,false,false,Arluene,,Joslin,"O'Keefe, Von and Hansen",8,20,4,,,,,,quisque erat eros viverra,3206 Becker Avenue,Apt 1757,Parksville,home,No Surveys,No Mass Emails,Opt-in,Opt-out,Opt-in,Research update
,,,false,false,Broderic,,Furnell,"Sawayn, Collins and Stamm",16,2,8,,,,,,ipsum primis in,342 Steensland Place,Apt 976,Campbell,home,No Surveys,No Surveys,Opt-in,Opt-out,Opt-in,Event
,,Gunilla Fist,false,false,Gunilla,,Fist,Fritsch-Schinner,13,6,57,,8617,,,,praesent blandit nam nulla integer pede justo lacinia eget tincidunt,8177 Sunnyside Point,,Courtenay,work,Do Not Call,Do Not Email,Opt-out,Opt-in,Opt-in,Thank you
,Judi Pahlsson,,false,false,Judi,,Pahlsson,,20,15,64,,,,,,,5651 Spenser Pass,6th Floor,Nanaimo,personal,No Surveys,No Mass Emails,Opt-out,Opt-in,Opt-in,Thank you
,,Gonzales Wallice,false,false,Gonzales,,Wallice,"Bogisich, Kertzmann and O'Hara",4,17,83,risus dapibus augue vel accumsan tellus,,,,,vehicula consequat morbi,49 Clove Hill,PO Box 69931,Parksville,home,No Surveys,No Mass Emails,Opt-out,Opt-out,Opt-in,Survey
,,,false,false,Mercy,,Shieber,Lockman-Gleason,20,5,47,,,,,,,86862 Arizona Trail,,Burnaby,personal,No Mass Communications,No Mass Emails,Opt-in,Opt-out,Opt-in,Survey
Guinna Manie,,Guinna Manie,false,false,Guinna,,Manie,Wilkinson-Howell,4,10,9,,,,,,,71 Golf Course Center,Apt 1002,Courtenay,work,No Mass Communications,No Surveys,Opt-out,Opt-in,Opt-in,Holiday Card
,,,true,false,Arri,,Malek,Klocko LLC,7,14,9,,,,92,,,34568 Fairview Way,Suite 53,Courtenay,personal,No Mass Communications,No Appeals,Opt-out,Opt-out,Opt-out,Survey
,,,false,false,Niki,,Sargood,"Denesik, Jacobs and Hettinger",18,19,19,,,,,,,872 Redwing Street,Suite 40,Richmond,personal,No Mass Communications,No Appeals,Opt-in,Opt-out,Opt-out,Survey
,,,false,false,Malchy,,Pidwell,"Padberg, Rice and Gislason",7,1,4,ut erat id mauris vulputate elementum nullam varius,,,,,,97335 Kedzie Center,PO Box 73035,Burnaby,home,Do Not Call,No Mass Emails,Opt-in,Opt-out,Opt-out,Holiday Card
,Adamo MacAlpyne,,false,false,Adamo,Adamo,MacAlpyne,Runolfsson-Wyman,15,5,15,,,,,,quam pharetra magna ac consequat metus,74654 Norway Maple Lane,Suite 55,Saanich,personal,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-in,Holiday Card
,,Whittaker Medgewick,false,false,Whittaker,,Medgewick,Hamill and Sons,2,10,58,,,,,,ante vivamus tortor duis mattis egestas metus aenean fermentum,64562 Pawling Way,,Vancouver,home,No Mass Communications,No Surveys,Opt-in,Opt-in,Opt-out,Survey
Leontine Kenright,Leontine Kenright,,false,false,Leontine,,Kenright,"Borer, Pacocha and Brekke",18,14,78,,55318,,,,,5602 Logan Point,Suite 57,Parksville,personal,No Surveys,No Appeals,Opt-out,Opt-in,Opt-in,Holiday Card
,Friedrick Brixey,,false,false,Friedrick,,Brixey,"Kuvalis, Blick and Osinski",18,9,48,,,,,,pharetra magna ac consequat metus sapien ut nunc vestibulum,281 2nd Center,PO Box 88238,Campbell,work,No Phone Appeals,No Mass Emails,Opt-in,Opt-out,Opt-out,Thank you
,,Ermengarde Clackson,true,false,Ermengarde,,Clackson,Anderson-Bernhard,8,11,45,,,,,,non mattis pulvinar nulla pede ullamcorper augue a suscipit,71 Green Place,,Campbell,personal,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-out,Event
,,,false,false,Hayley,Hayley,Oliphard,,6,13,66,,,,,,curae donec pharetra magna,4 Autumn Leaf Junction,Suite 95,Nanaimo,home,No Surveys,No Appeals,Opt-in,Opt-out,Opt-out,Holiday Card
,Nial Bellsham,,false,false,Nial,Nial,Bellsham,Stoltenberg Group,16,7,70,condimentum neque sapien placerat ante nulla,,,,,,335 Hayes Court,Apt 1173,Richmond,work,No Surveys,Do Not Email,Opt-in,Opt-out,Opt-in,Thank you
,Reggi Hryniewicz,Reggi Hryniewicz,false,true,Reggi,,Hryniewicz,Macejkovic-Boyle,7,3,26,,2426,,88,,,8 Talmadge Junction,PO Box 87188,Vancouver,work,Do Not Call,No Appeals,Opt-out,Opt-in,Opt-out,Newsletter
,,,false,false,Aksel,,Sleeny,Lakin-Kautzer,7,13,55,,,,,,,5 Maple Wood Alley,PO Box 15529,Nanaimo,home,No Surveys,No Mass Emails,Opt-out,Opt-in,Opt-out,Thank you
,,,false,false,Chelsy,Chelsy,Beaten,Howe-O'Conner,1,17,18,eget eros elementum,,,,,,8182 Hoard Street,PO Box 43671,Nanaimo,home,No Mass Communications,No Mass Emails,Opt-out,Opt-out,Opt-out,Thank you
,,Hildagard Biggadike,false,false,Hildagard,,Biggadike,Hayes-Hilll,8,1,6,,,,,,,3 Novick Park,,Courtenay,home,No Phone Appeals,No Mass Emails,Opt-out,Opt-in,Opt-out,Research update
,Cesya Broughton,,false,false,Cesya,,Broughton,Koss-Ziemann,18,9,14,,,,,,,58 6th Hill,Suite 24,Parksville,home,No Mass Communications,Do Not Email,Opt-out,Opt-in,Opt-in,Holiday Card
,Lyndel Luxton,,false,false,Lyndel,,Luxton,"Bartoletti, Kilback and Considine",7,10,85,,,,,,,4673 Steensland Place,PO Box 19245,Courtenay,home,No Mass Communications,No Mass Emails,Opt-out,Opt-in,Opt-out,Thank you
,,Guinevere Philippard,false,false,Guinevere,,Philippard,Grimes and Sons,5,13,27,,,,,,,25 Elmside Court,,Parksville,personal,Do Not Call,No Surveys,Opt-in,Opt-in,Opt-out,Survey
,Aimil Shaylor,Aimil Shaylor,false,false,Aimil,,Shaylor,Cartwright Inc,7,9,21,,,,,,,88 Tennessee Trail,4th Floor,Nanaimo,personal,No Surveys,Do Not Email,Opt-in,Opt-in,Opt-out,Newsletter
,,,false,false,Shaina,,Hailston,"Beer, Wisozk and Jones",14,16,70,,30460,,,,nulla suspendisse potenti cras,75271 Towne Alley,,Nanaimo,home,Do Not Call,No Mass Emails,Opt-in,Opt-out,Opt-out,Survey
,,Chancey Rignoldes,false,false,Chancey,,Rignoldes,Barton-O'Kon,17,14,42,,,,,,maecenas leo odio condimentum id luctus nec,2180 Carey Parkway,,Saanich,home,No Mass Communications,Do Not Email,Opt-in,Opt-in,Opt-out,Survey
,,,false,false,Hymie,,Lathan,Breitenberg-Goldner,19,16,70,,,,,,,4 Heffernan Parkway,Suite 73,Victoria,work,No Phone Appeals,Do Not Email,Opt-in,Opt-in,Opt-in,Event
,Barnaby Brusin,Barnaby Brusin,false,false,Barnaby,Barnaby,Brusin,"Yundt, Waelchi and Boyer",3,3,96,,,,,,,19944 Holmberg Street,,Courtenay,personal,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-out,Thank you
,,Eugenia Fripp,false,false,Eugenia,Eugenia,Fripp,Huel and Sons,16,17,13,,,,,,,56 Sachs Plaza,Room 1970,River,home,Do Not Call,No Mass Emails,Opt-out,Opt-in,Opt-in,Holiday Card
,,,false,false,Cassie,,Grogan,Gerhold-Rogahn,4,17,39,,,,,,,27174 Express Pass,,Surrey,personal,No Surveys,No Mass Emails,Opt-out,Opt-in,Opt-out,Survey
,,,false,false,Eldredge,,Pieche,,10,9,82,,173,,,,,23468 Packers Parkway,16th Floor,Nanaimo,work,Do Not Call,No Surveys,Opt-out,Opt-out,Opt-in,Research update
,,,false,false,Joann,,Lopes,,15,11,91,tortor risus dapibus augue,,,,,,91918 Ludington Trail,PO Box 29058,Campbell,work,No Mass Communications,No Appeals,Opt-out,Opt-in,Opt-in,Event
,,,false,false,Kelbee,,Bulward,Auer LLC,14,7,81,,,,,,,842 Merry Parkway,16th Floor,Vancouver,work,No Surveys,No Appeals,Opt-out,Opt-out,Opt-in,Survey
